orderdate,shipdate,shipmode,customername,segment,country,market,category,productname,sales,quantity,profit,shippingcost,row_no
2011-04-01,2011-09-01,Standard Class,Maya Herman,Corporate,Mexico,LATAM,Technology,Enermax Keyboard,223,4,13.28,42.28,29
2011-04-01,2011-11-01,Standard Class,Beth Thompson,Home Office,Cuba,LATAM,Office Supplies,Jiffy Interoffice Envelope,186,6,3.6,16.39,30
2011-04-01,2011-08-01,Standard Class,Arthur Prichep,Consumer,France,EU,Office Supplies,Binney & Smith Sketch Pad,140,3,20.88,10.78,31
2011-04-01,2011-09-01,Second Class,Russell Applegate,Consumer,Brazil,LATAM,Office Supplies,Fiskars Letter Opener,149,8,28.16,10.38,32
2011-04-01,2011-09-01,Standard Class,Maya Herman,Corporate,Mexico,LATAM,Technology,Sharp Ink,166,2,49.42824,9.54,33
2011-04-01,2011-11-01,Standard Class,Beth Thompson,Home Office,Brazil,LATAM,Office Supplies,Jiffy Interoffice Envelope,74,6,-107.856,7.04,34
2011-04-01,2011-08-01,Standard Class,Arthur Wiediger,Home Office,Cuba,LATAM,Furniture,SAFCO Chairmat,38,1,6.88,4.25,35
2011-04-01,2011-08-01,Standard Class,Arthur Wiediger,Home Office,Cuba,LATAM,Technology,Memorex Mouse,38,2,2.24,3.94,36
2011-04-01,2011-08-01,Standard Class,Arthur Wiediger,Home Office,Cuba,LATAM,Office Supplies,Kraft Peel and Seal,39,3,7.68,3.51,37
2011-04-01,2011-09-01,Standard Class,Grant Thornton,Corporate,United Kingdom,EU,Office Supplies,Boston Markers,27,2,-21.9,2.11,38
2011-04-01,2011-08-01,Standard Class,Darren Powers,Consumer,United States,US,Office Supplies,Message Book,16,2,5.5512,1.82,39
2011-04-01,2011-08-01,Standard Class,Bradley Drucker,Consumer,Japan,APAC,Office Supplies,Harbour Creations File Folder Labels,27,3,13.68,1.54,40
2011-04-01,2011-09-01,Standard Class,Grant Thornton,Corporate,United Kingdom,EU,Office Supplies,Eldon Folders,17,2,-1.05,0.9,41
2011-04-01,2011-08-01,Standard Class,Jasper Cacioppo,Consumer,Sudan,Africa,Office Supplies,Boston Pens,15,1,2.61,0.82,42
2011-04-01,2011-08-01,Standard Class,Jasper Cacioppo,Consumer,Sudan,Africa,Office Supplies,Avery Hole Reinforcements,6,1,2.1,0.51,43
2011-05-01,2011-09-01,Standard Class,Jennifer Halladay,Consumer,Mexico,LATAM,Office Supplies,Hoover Stove,3,8,999.36,191.2,44
2011-05-01,2011-07-01,First Class,Michael Granlund,Home Office,France,EU,Office Supplies,Sanford Canvas,207,4,76.56,20.64,45
2011-05-01,2011-07-01,First Class,Michael Granlund,Home Office,France,EU,Office Supplies,Binney & Smith Pencil Sharpener,90,3,20.52,15.27,46
2011-05-01,2011-09-01,Standard Class,Phillina Ober,Home Office,United States,US,Office Supplies,SAFCO Boltless Steel Shelving,273,3,-64.7748,13.59,47
2011-05-01,2011-11-01,Standard Class,Shaun Weien,Consumer,Taiwan,APAC,Furniture,Rubbermaid Photo Frame,49,1,22.92,5.82,48
2011-05-01,2011-09-01,Standard Class,Phillina Ober,Home Office,United States,US,Office Supplies,Avery 508,12,3,4.2717,0.99,49
2011-05-01,2011-09-01,Standard Class,Phillina Ober,Home Office,United States,US,Office Supplies,GBC Standard Plastic Binding Systems Combs,4,2,-5.487,0.55,50
2011-06-01,2011-09-01,Second Class,Shahid Hopkins,Consumer,France,EU,Furniture,Advantus Frame,324,3,35.64,39.98,51
2011-06-01,2011-10-01,Standard Class,Brosina Hoffman,Consumer,Indonesia,APAC,Office Supplies,Fellowes Box,50,3,6.0084,6.2,52
2011-06-01,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Vietnam,APAC,Office Supplies,Tenex Trays,90,2,29.2686,3.62,53
2011-06-01,2011-10-01,Standard Class,Brosina Hoffman,Consumer,Indonesia,APAC,Office Supplies,Advantus Staples,41,7,-27.0942,2.63,54
2011-06-01,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Vietnam,APAC,Office Supplies,Enermax Memo Slips,39,3,11.5893,2.45,55
2011-06-01,2011-11-01,Standard Class,Grace Kelly,Corporate,Angola,Africa,Technology,Logitech Flash Drive,28,1,12.72,2.0,56
2011-06-01,2011-10-01,Standard Class,Khloe Miller,Consumer,China,APAC,Office Supplies,Cameo Manila Envelope,31,1,13.11,1.96,57
2011-06-01,2011-01-13,Standard Class,Mick Brown,Consumer,United States,US,Office Supplies,Avery Hi,20,3,4.884,1.85,58
2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,United States,US,Furniture,Global Deluxe High,2,9,746.4078,258.99,59
2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,United States,US,Office Supplies,Ibico Hi,610,2,274.491,88.07,60
2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,United States,US,Technology,GE 30524EE4,392,2,113.6742,62.37,61
2011-07-01,2011-10-01,First Class,Stewart Visinsky,Consumer,Mozambique,Africa,Office Supplies,Eldon File Cart,256,2,46.02,52.46,62
2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Technology,Panasonic Phone,445,7,-136.71,46.97,63
2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Technology,Logitech Router,274,2,-44.838,42.19,64
2011-07-01,2011-08-01,First Class,Dave Poirier,Corporate,France,EU,Office Supplies,Smead Lockers,716,4,143.16,32.46,65
2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Technology,Panasonic Card Printer,388,3,25.8075,26.2,66
2011-07-01,2011-11-01,Standard Class,Harry Marie,Corporate,Lebanon,EMEA,Technology,HP Fax and Copier,174,1,71.46,23.84,67
2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,United States,US,Technology,Wireless Extenders zBoost YX545 SOHO Signal Booster,756,4,204.1092,13.82,68
2011-07-01,2011-10-01,First Class,Stewart Visinsky,Consumer,Mozambique,Africa,Office Supplies,Stanley Sketch Pad,45,1,8.49,13.7,69
2011-07-01,2011-08-01,First Class,Dave Poirier,Corporate,France,EU,Office Supplies,Accos Thumb Tacks,33,3,2.25,9.73,70
2011-07-01,2011-08-01,First Class,Dave Poirier,Corporate,France,EU,Furniture,Bush Floating Shelf Set,155,1,36.228,5.72,71
2011-07-01,2011-09-01,Second Class,Lycoris Saunders,Consumer,United States,US,Office Supplies,Xerox 225,19,3,9.3312,4.37,72
2011-07-01,2011-11-01,Standard Class,Alyssa Crouse,Corporate,Algeria,Africa,Office Supplies,Stanley Sketch Pad,91,2,14.58,4.36,73
2011-07-01,2011-07-01,Same Day,Dorothy Dickinson,Consumer,Brazil,LATAM,Office Supplies,Stockwell Rubber Bands,43,4,6.0,3.94,74
2011-07-01,2011-07-01,Same Day,Dorothy Dickinson,Consumer,Brazil,LATAM,Office Supplies,Ibico Index Tab,19,3,2.4,3.69,75
2011-07-01,2011-08-01,First Class,Jack O'Briant,Corporate,United States,US,Office Supplies,Dixon Prang Watercolor Pencils,13,3,5.2398,3.51,76
2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,Philippines,APAC,Office Supplies,BIC Sketch Pad,27,1,-4.494,3.21,77
2011-07-01,2011-11-01,Standard Class,Harry Marie,Corporate,Lebanon,EMEA,Furniture,Advantus Stacking Tray,26,1,7.38,2.88,78
2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,United States,US,Office Supplies,Alliance Super,31,4,0.3112,2.19,79
2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,United States,US,Office Supplies,Southworth 25% Cotton Granite Paper & Envelopes,7,1,3.0084,1.13,80
2011-07-01,2011-12-01,Standard Class,Adam Bellavance,Home Office,Singapore,APAC,Office Supplies,Novimex Shipping Labels,18,2,5.46,0.89,81
2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,United States,US,Office Supplies,Rogers Handheld Barrel Pencil Sharpener,5,2,1.4796,0.52,82
2011-07-01,2011-10-01,First Class,Joy Smith,Consumer,Netherlands,EU,Office Supplies,Stanley Pens,5,1,-0.105,0.28,83
2011-08-01,2011-01-13,Standard Class,Henia Zydlo,Consumer,Angola,Africa,Furniture,Ikea Classic Bookcase,2,6,49.5,349.87,84
2011-08-01,2011-12-01,Second Class,Nicole Fjeld,Home Office,China,APAC,Technology,Panasonic Inkjet,2,7,260.82,275.52,85
2011-08-01,2011-01-14,Standard Class,Darren Powers,Consumer,France,EU,Furniture,Ikea Classic Bookcase,987,6,-1011.636,65.64,86
2011-08-01,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,LATAM,Office Supplies,Smead Lockers,397,3,182.52,33.67,87
2011-08-01,2011-01-13,Standard Class,Vivek Sundaresam,Consumer,United States,US,Furniture,Howard Miller 14,77,3,-53.7096,6.69,88
2011-08-01,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,LATAM,Office Supplies,Wilson Jones Binder Covers,50,7,20.3,5.66,89
2011-08-01,2011-01-14,Standard Class,Darren Powers,Consumer,France,EU,Office Supplies,Binney & Smith Sketch Pad,116,5,-55.65,3.91,90
2011-08-01,2011-11-01,Second Class,Joe Elijah,Consumer,Nigeria,Africa,Office Supplies,Avery Index Tab,5,2,-4.542,0.82,91
2011-08-01,2011-01-13,Standard Class,Vivek Sundaresam,Consumer,United States,US,Office Supplies,Acco Four Pocket Poly Ring Binder with Label Holder,10,7,-18.2525,0.63,92
2011-09-01,2011-01-13,Standard Class,Ed Braxton,Corporate,Indonesia,APAC,Technology,Motorola Signal Booster,240,2,-11.6028,34.99,93
2011-09-01,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Technology,Belkin Numeric Keypad,177,6,-156.6792,17.09,94
2011-09-01,2011-01-13,Standard Class,Sample Company A,Home Office,Philippines,APAC,Office Supplies,Fellowes Trays,158,5,-2.9775,10.08,95
2011-09-01,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Technology,Apple Headset,124,2,32.793,7.93,96
2011-09-01,2011-01-13,Standard Class,Sample Company A,Home Office,Philippines,APAC,Office Supplies,Stockwell Push Pins,52,7,4.5885,5.55,97
2011-09-01,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Office Supplies,Smead Removable Labels,45,5,17.8935,3.31,98
2011-09-01,2011-01-13,Standard Class,Sample Company A,Home Office,Philippines,APAC,Office Supplies,Green Bar Memo Slips,9,1,-1.7175,0.69,99
2011-09-01,2011-01-14,Standard Class,Alejandro Grove,Consumer,Vietnam,APAC,Office Supplies,Avery Index Tab,10,2,0.0714,0.25,100
2011-10-01,2011-11-01,First Class,Dan Lawera,Consumer,Australia,APAC,Technology,Nokia Smart Phone,2,5,511.095,665.27,101
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Furniture,Ikea Library with Doors,363,1,159.87,134.59,102
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Technology,Canon Ink,589,4,276.6,114.15,103
2011-10-01,2011-12-01,Second Class,Sanjit Jacobs,Home Office,Egypt,Africa,Furniture,Chromcraft Wood Table,968,2,445.26,80.13,104
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Office Supplies,SanDisk Message Books,142,6,63.9,67.79,105
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Office Supplies,Sanford Pencil Sharpener,155,6,54.18,58.32,106
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Technology,Epson Phone,156,2,23.4,52.91,107
2011-10-01,2011-01-15,Second Class,Tiffany House,Corporate,Algeria,Africa,Office Supplies,Hoover Microwave,309,1,61.71,31.41,108
2011-10-01,2011-01-16,Standard Class,Jocasta Rupert,Consumer,Venezuela,LATAM,Technology,Sharp Wireless Fax,425,3,-278.79024,26.72,109
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Office Supplies,Eaton Note Cards,53,2,0.0,16.06,110
2011-10-01,2011-01-14,Standard Class,Greg Guthrie,Corporate,United Kingdom,EU,Office Supplies,Fellowes File Cart,206,3,-41.265,14.65,111
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Office Supplies,Cameo Mailers,42,1,1.65,13.08,112
2011-10-01,2011-01-15,Standard Class,Paul MacIntyre,Consumer,Mexico,LATAM,Office Supplies,Fellowes Shelving,114,3,56.88,8.93,113
2011-10-01,2011-11-01,First Class,Patrick O'Donnell,Consumer,China,APAC,Office Supplies,Kleencut Ruler,26,2,5.4,5.86,114
2011-10-01,2011-11-01,First Class,Dan Lawera,Consumer,Australia,APAC,Office Supplies,Hon File Folder Labels,30,4,12.096,5.54,115
2011-10-01,2011-11-01,First Class,Patrick O'Donnell,Consumer,China,APAC,Office Supplies,Avery Binder Covers,34,3,16.11,5.26,116
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Technology,StarTech Calculator,37,1,5.55,4.32,117
2011-10-01,2011-11-01,First Class,Dan Lawera,Consumer,Australia,APAC,Office Supplies,Enermax Note Cards,162,6,53.694,3.02,118
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Office Supplies,Sanford Pens,11,1,2.61,2.59,119
2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Hungary,EMEA,Office Supplies,Avery Binder Covers,11,1,2.4,2.03,120
2011-10-01,2011-01-14,Standard Class,Ricardo Sperren,Corporate,South Africa,Africa,Office Supplies,Acco Binder,17,1,4.65,1.29,121
2011-10-01,2011-01-14,Standard Class,Melanie Seite,Consumer,United States,US,Technology,Memorex Micro Travel Drive 8 GB,31,3,9.75,1.13,122
2011-10-01,2011-01-15,Second Class,Brian Dahlen,Consumer,Thailand,APAC,Office Supplies,Stockwell Staples,12,3,-5.6826,1.04,123
2011-10-01,2011-01-15,Standard Class,Paul MacIntyre,Consumer,Mexico,LATAM,Office Supplies,Elite Scissors,16,1,1.76,0.89,124
2011-10-01,2011-01-14,Standard Class,Melanie Seite,Consumer,United States,US,Office Supplies,Newell 312,9,2,1.168,0.21,125
2011-11-01,2011-11-01,Same Day,Roy Collins,Consumer,United Kingdom,EU,Furniture,SAFCO Executive Leather Armchair,1,3,13.77,178.98,126
2011-11-01,2011-12-01,First Class,Philip Fox,Consumer,Mexico,LATAM,Office Supplies,Smead Lockers,1,10,238.0,103.84,127
2011-11-01,2011-12-01,First Class,Philip Fox,Consumer,Mexico,LATAM,Furniture,Dania Floating Shelf Set,452,5,-107.3,57.75,128
2011-11-01,2011-01-18,Standard Class,David Flashing,Consumer,Indonesia,APAC,Technology,Apple Audio Dock,554,4,40.0536,42.43,129
2011-11-01,2011-01-16,Standard Class,Steve Carroll,Home Office,Philippines,APAC,Technology,Sharp Wireless Fax,697,3,-343.098,40.16,130
2011-11-01,2011-12-01,First Class,Philip Fox,Consumer,Mexico,LATAM,Technology,Apple Headset,245,5,88.0,39.11,131
2011-11-01,2011-01-18,Standard Class,David Flashing,Consumer,Indonesia,APAC,Office Supplies,Sanford Canvas,334,9,13.4703,23.56,132
2011-11-01,2011-01-15,Standard Class,Dorothy Dickinson,Consumer,Spain,EU,Furniture,Bevis Training Table,268,2,-341.736,21.49,133
2011-11-01,2011-11-01,Same Day,Roy Collins,Consumer,United Kingdom,EU,Office Supplies,Binney & Smith Canvas,103,2,19.5,20.54,134
2011-11-01,2011-01-18,Standard Class,David Flashing,Consumer,Indonesia,APAC,Furniture,Advantus Clock,188,5,2.4735,15.77,135
2011-11-01,2011-01-15,Standard Class,Dianna Vittorini,Consumer,India,APAC,Furniture,Eldon Door Stop,142,3,52.38,15.62,136
2011-11-01,2011-01-15,Standard Class,Chuck Sachs,Consumer,Turkey,EMEA,Furniture,Safco Floating Shelf Set,157,2,-117.72,12.45,137
2011-11-01,2011-01-15,Standard Class,Tanja Norvell,Home Office,New Zealand,APAC,Office Supplies,GlobeWeis Interoffice Envelope,115,4,-47.832,10.52,138
2011-11-01,2011-01-15,Standard Class,Mick Brown,Consumer,Austria,EU,Office Supplies,Smead Trays,97,2,31.02,7.99,139
2011-11-01,2011-01-16,Standard Class,Steve Carroll,Home Office,Philippines,APAC,Furniture,Rubbermaid Photo Frame,78,2,23.775,7.09,140
2011-11-01,2011-12-01,First Class,Philip Fox,Consumer,Mexico,LATAM,Office Supplies,KitchenAid Coffee Grinder,140,3,32.1,6.47,141
2011-11-01,2011-01-15,Standard Class,Mick Brown,Consumer,Austria,EU,Office Supplies,Boston Canvas,55,1,9.87,5.83,142
2011-11-01,2011-01-16,Standard Class,Anthony Jacobs,Corporate,United States,US,Furniture,Howard Miller 11,52,1,21.2954,3.52,143
2011-11-01,2011-01-15,Standard Class,Dorothy Dickinson,Consumer,Spain,EU,Office Supplies,Novimex File Folder Labels,40,5,5.55,2.57,144
2011-11-01,2011-01-16,Standard Class,Eric Murdock,Consumer,Italy,EU,Office Supplies,Ibico Hole Reinforcements,22,3,6.75,1.09,145
2011-11-01,2011-01-18,Standard Class,David Flashing,Consumer,Indonesia,APAC,Office Supplies,Avery Hole Reinforcements,5,1,-0.0147,0.3,146
2011-11-01,2011-01-16,Standard Class,Anthony Jacobs,Corporate,United States,US,Office Supplies,Avery 482,3,1,1.3583,0.22,147
2011-12-01,2011-01-17,Standard Class,Thomas Seio,Corporate,Mexico,LATAM,Technology,Logitech Router,495,3,178.2,54.55,148
2011-12-01,2011-01-17,Standard Class,Thomas Seio,Corporate,Mexico,LATAM,Technology,Hewlett Fax and Copier,385,3,68.64852,38.19,149
2011-12-01,2011-01-19,Standard Class,Roy Phan,Corporate,Germany,EU,Furniture,Ikea Stackable Bookrack,552,5,165.36,35.98,150
2011-12-01,2011-01-19,Standard Class,Roy Phan,Corporate,Germany,EU,Technology,Epson Printer,522,2,20.88,28.92,151
2011-12-01,2011-01-17,Standard Class,Anthony Garverick,Home Office,United Kingdom,EU,Furniture,Hon Chairmat,290,5,69.6,18.63,152
2011-12-01,2011-01-15,First Class,Peter Bühler,Consumer,United Kingdom,EU,Office Supplies,Green Bar Note Cards,34,2,-6.15,7.31,153
2011-12-01,2011-01-19,Standard Class,Roy Phan,Corporate,Germany,EU,Office Supplies,Binney & Smith Canvas,257,5,48.75,7.28,154
2011-12-01,2011-01-15,First Class,Seth Vernon,Consumer,United States,US,Furniture,DAX Value U,10,2,3.0814,2.69,155
2011-12-01,2011-01-19,Standard Class,Roy Phan,Corporate,Germany,EU,Office Supplies,Ibico Index Tab,17,2,6.18,2.08,156
2011-12-01,2011-01-16,Standard Class,Shaun Chance,Corporate,Nigeria,Africa,Office Supplies,Fellowes Folders,15,2,-22.458,1.27,157
2011-12-01,2011-01-16,Standard Class,Shaun Chance,Corporate,Nigeria,Africa,Office Supplies,BIC Sketch Pad,16,1,-28.518,1.27,158
2011-12-01,2011-01-16,Standard Class,Shaun Chance,Corporate,Nigeria,Africa,Office Supplies,Avery Removable Labels,13,4,-21.648,0.62,159
2011-12-01,2011-01-16,Standard Class,Shaun Chance,Corporate,Nigeria,Africa,Office Supplies,Kleencut Ruler,5,1,-10.326,0.43,160
2011-12-01,2011-01-16,Standard Class,Shaun Chance,Corporate,Nigeria,Africa,Office Supplies,Advantus Staples,3,1,-6.483,0.25,161
2011-12-01,2011-01-16,Standard Class,Shaun Chance,Corporate,Nigeria,Africa,Office Supplies,Fellowes Trays,17,1,-26.649,0.24,162
2011-01-13,2011-01-18,Standard Class,Roger Demir,Consumer,Egypt,Africa,Office Supplies,Smead Lockers,794,4,134.88,76.6,163
2011-01-13,2011-01-18,Standard Class,Roger Demir,Consumer,Egypt,Africa,Technology,HP Fax Machine,1,4,479.88,55.62,164
2011-01-13,2011-01-17,Standard Class,Ben Wallace,Consumer,Mexico,LATAM,Technology,StarTech Inkjet,201,1,100.62,31.78,165
2011-01-13,2011-01-19,Standard Class,Greg Matthias,Consumer,Netherlands,EU,Office Supplies,Smead Lockers,198,2,-130.98,14.53,166
2011-01-13,2011-01-18,Standard Class,Roger Demir,Consumer,Egypt,Africa,Office Supplies,Fellowes Box,38,2,17.22,2.66,167
2011-01-13,2011-01-17,Standard Class,James Lanier,Home Office,Venezuela,LATAM,Office Supplies,Elite Ruler,26,5,-8.0,2.2,168
2011-01-13,2011-01-20,Standard Class,Stuart Calhoun,Consumer,Sweden,EU,Office Supplies,Sanford Pens,31,5,-13.65,2.16,169
2011-01-13,2011-01-19,Standard Class,Greg Matthias,Consumer,Netherlands,EU,Office Supplies,Green Bar Cards & Envelopes,50,2,-37.86,1.51,170
2011-01-13,2011-01-19,Standard Class,Greg Matthias,Consumer,Netherlands,EU,Office Supplies,Harbour Creations Legal Exhibit Labels,22,4,-12.3,1.29,171
2011-01-13,2011-01-17,Standard Class,Cari Sayre,Corporate,Australia,APAC,Office Supplies,Harbour Creations Legal Exhibit Labels,16,2,0.33,0.72,172
2011-01-13,2011-01-19,Standard Class,Greg Matthias,Consumer,Netherlands,EU,Office Supplies,Wilson Jones Hole Reinforcements,9,3,-3.465,0.43,173
2011-01-14,2011-01-19,Standard Class,Brian Dahlen,Consumer,United States,US,Office Supplies,Tennsco 6,1,5,238.653,187.65,174
2011-01-14,2011-01-16,Second Class,Chris Selesnick,Corporate,United States,US,Office Supplies,Fellowes Stor/Drawer Steel Plus Storage Drawers,573,6,34.3548,146.29,175
2011-01-14,2011-01-16,Second Class,Chris Selesnick,Corporate,United States,US,Technology,Plantronics S12 Corded Telephone Headset System,647,6,258.696,141.35,176
2011-01-14,2011-01-19,Standard Class,Sharelle Roach,Home Office,Austria,EU,Technology,StarTech Card Printer,486,3,77.67,53.02,177
2011-01-14,2011-01-17,Second Class,Natalie DeCherney,Consumer,United States,US,Furniture,Global Highback Leather Tilter in Burgundy,546,6,87.3504,52.32,178
2011-01-14,2011-01-19,Standard Class,Sharelle Roach,Home Office,Austria,EU,Technology,Apple Headset,440,6,65.88,49.92,179
2011-01-14,2011-01-19,Standard Class,Brian Dahlen,Consumer,United States,US,Furniture,O'Sullivan Elevations Bookcase,334,3,3.9294,40.44,180
2011-01-14,2011-01-19,Standard Class,Sharelle Roach,Home Office,Austria,EU,Office Supplies,Xerox Message Books,224,11,102.96,30.34,181
2011-01-14,2011-01-20,Standard Class,Bart Pistole,Corporate,Nicaragua,LATAM,Furniture,Safco Floating Shelf Set,393,3,180.96,27.67,182
2011-01-14,2011-01-15,First Class,Ted Butterfield,Consumer,Mexico,LATAM,Office Supplies,Jiffy Mailers,106,4,18.96,26.23,183
2011-01-14,2011-01-21,Standard Class,Steve Nguyen,Home Office,South Africa,Africa,Office Supplies,Sanford Pens,136,12,31.32,23.89,184
2011-01-14,2011-01-16,Second Class,Chris Selesnick,Corporate,United States,US,Office Supplies,Brown Kraft Recycled Envelopes,51,3,25.47,12.66,185
2011-01-14,2011-01-20,Standard Class,Bart Pistole,Corporate,Nicaragua,LATAM,Office Supplies,Eaton Computer Printout Paper,246,12,7.2,11.88,186
2011-01-14,2011-01-18,Standard Class,Bruce Degenhardt,Consumer,Turkey,EMEA,Office Supplies,Fellowes File Cart,110,2,-54.972,11.53,187
2011-01-14,2011-01-21,Standard Class,Muhammed Yedwab,Corporate,Philippines,APAC,Furniture,Tenex Door Stop,99,3,-23.7375,9.71,188
2011-01-14,2011-01-21,Standard Class,Muhammed Yedwab,Corporate,Philippines,APAC,Office Supplies,Smead Trays,80,3,5.742,9.43,189
